32,355
341,433,351
324,436,361
302,424,350
304,431,355
312,407,340
311,377,321
301,360,281
325,361,244
372,365,236
408,354,236
444,376,266
435,377,314
386,419,330
348,433,328
351,428,339
307,437,355
274,414,392
244,437,421
292,481,457
345,467,413
365,445,362
396,451,355
389,428,352
360,432,349
334,440,348
305,431,355
290,421,366
286,396,346
288,363,313
284,349,259
336,358,221
390,355,228
466,362,249
422,372,288
436,401,323
370,421,319
336,422,318
334,440,328
297,437,348
273,415,382
240,448,407
303,457,467
341,454,442
369,446,380
385,443,349
384,438,345
379,440,346
343,435,348
318,440,356
283,432,358
295,432,362
310,404,343
307,370,327
293,348,278
324,349,238
365,356,229
420,345,222
441,371,261
438,369,315
400,420,337
352,428,335
335,439,322
312,452,346
315,431,362
263,422,376
268,433,422
319,463,459
352,452,425
365,442,358
376,438,329
383,430,337
367,426,343
344,431,351
314,423,354
288,430,348
303,421,348
316,405,337
312,383,310
322,376,285
342,380,261
372,376,266
401,381,268
421,383,278
395,389,305
377,411,323
348,421,330
353,425,347
300,430,366
297,431,383
281,453,405
295,454,430
333,456,402
347,441,360
370,437,353
371,440,350
348,441,349
342,441,356
315,437,358
307,425,367
315,407,354
305,380,331
292,353,299
299,361,249
360,364,227
396,363,235
460,364,253
417,382,293
415,399,322
364,425,326
335,429,318
340,434,341
288,427,365
232,415,391
261,455,449
314,466,465
352,450,414
375,446,352
386,442,343
380,438,351
363,442,350
331,435,355
300,430,364
275,413,355
296,395,333
289,361,311
297,358,257
356,366,230
399,359,231
465,360,245
425,372,288
420,399,322
355,418,318
332,434,322
338,426,342
265,414,370
239,418,407
297,483,477
323,472,459
361,448,381
381,451,346
385,432,336
375,427,344
348,431,345
321,427,360
295,426,359
293,419,350
306,393,329
298,369,314
300,364,260
354,379,243
391,377,250
441,368,257
418,381,286
420,397,323
370,419,323
347,426,326
314,429,344
294,409,381
240,446,409
290,469,445
318,465,420
354,446,367
387,443,344
384,436,349
373,431,348
339,430,347
315,434,356
303,426,353
310,417,350
307,386,326
300,366,308
305,368,254
358,375,241
392,378,259
436,372,269
403,386,293
405,397,321
361,424,323
355,422,326
319,438,347
285,398,369
247,446,401
286,467,457
323,467,424
359,446,374
387,438,344
383,429,345
378,432,352
346,435,354
320,435,360
291,431,352
296,412,347
311,398,331
294,360,313
306,366,261
358,371,245
387,377,256
419,363,256
427,378,287
431,393,322
367,417,328
335,433,323
321,439,340
307,424,364
241,444,394
268,472,450
316,460,436
357,443,383
380,429,343
392,428,338
380,424,338
354,429,344
333,427,351
299,430,349
296,430,345
319,419,345
317,394,337
312,376,310
316,376,282
339,373,252
379,383,256
409,375,270
424,385,294
395,409,320
363,414,328
343,427,325
322,431,344
276,424,372
253,466,407
288,462,440
322,456,400
366,438,366
381,430,342
384,429,348
365,428,347
338,434,350
318,427,346
306,427,342
318,422,338
326,406,336
323,388,323
317,384,295
327,378,273
355,381,267
376,380,277
389,380,281
400,394,303
376,410,323
356,424,328
337,433,336
328,424,359
274,424,368
290,461,406
295,448,421
331,451,385
363,432,360
373,432,341
375,432,345
358,428,350
329,429,353
313,428,351
306,424,343
316,413,337
318,396,325
308,381,302
330,386,275
356,384,268
383,389,280
393,383,286
400,392,301
369,406,321
351,416,326
340,424,347
306,426,354
278,448,375
281,453,421
315,459,420
348,443,384
374,435,350
375,425,336
372,428,342
348,430,348
324,427,349
306,423,344
310,419,336
323,402,330
318,387,319
316,386,297
331,387,271
364,393,278
388,393,293
395,395,298
390,407,318
366,417,325
347,421,343
314,422,358
274,433,372
305,462,410
310,449,404
342,440,370
371,435,354
369,429,345
360,431,353
341,431,350
322,433,352
313,431,349
319,426,340
326,409,335
324,392,326
307,376,303
318,377,272
352,382,257
384,386,273
396,380,282
409,395,301
373,408,325
353,419,324
347,433,343
301,432,357
283,435,381
272,463,430
311,457,416
348,437,377
374,432,349
383,428,339
378,427,342
355,425,346
331,424,349
303,421,342
304,421,333
314,408,333
309,383,320
307,382,294
335,383,267
374,395,269
396,398,287
408,394,302
384,407,320
359,416,329
344,418,346
291,441,364
269,442,406
288,455,428
327,443,397
363,431,356
377,430,344
377,426,340
359,432,351
331,424,348
315,429,346
307,423,335
326,419,333
331,405,332
322,389,317
329,391,294
340,387,275
362,388,274
379,388,288
385,394,304
375,399,314
352,415,331
335,425,341
321,429,340
306,434,354
292,444,376
304,451,413
337,442,404
356,433,371
376,431,351
374,431,340
363,437,349
337,429,354
315,424,353
299,418,343
308,412,329
316,401,325
315,388,309
332,386,278
362,392,269
388,391,275
400,395,291
397,402,313
362,409,324
352,419,338
310,428,348
283,444,386
279,453,433
325,458,424
350,437,383
370,436,348
378,425,337
367,424,336
350,430,349
328,427,356
307,422,338
309,417,327
326,405,328
318,388,312
321,389,291
342,389,278
367,395,279
382,393,292
385,397,304
370,410,325
358,420,341
331,432,362
280,433,394
295,463,423
327,453,422
343,441,370
361,428,339
376,423,341
368,428,339
347,431,348
321,420,349
304,419,340
310,414,332
324,406,330
317,389,315
321,386,283
348,395,278
373,391,280
391,398,298
383,395,307
371,409,323
351,422,335
324,420,349
293,431,360
278,442,407
322,459,417
347,442,395
356,433,358
373,430,342
367,430,344
349,430,345
334,432,353
315,431,350
311,419,339
330,419,332
335,404,333
324,397,320
317,384,289
333,384,270
364,389,272
383,386,287
386,391,297
378,402,318
361,414,326
334,430,345
316,424,350
289,443,366
278,454,415
325,459,415
344,436,384
366,431,354
387,434,344
369,425,337
350,429,345
331,425,352
306,422,347
306,416,331
316,410,328
317,393,326
319,391,299
337,392,283
365,395,274
383,390,283
395,397,301
377,406,320
362,420,339
319,418,351
288,434,374
279,447,418
316,459,406
340,444,378
361,431,349
374,429,347
363,430,344
347,433,351
322,430,349
310,415,338
317,417,334
322,403,323
315,385,303
326,388,281
349,385,269
378,391,280
388,389,295
386,400,309
364,415,329
342,424,336
315,420,355
286,433,372
294,453,419
320,465,425
345,449,381
361,432,349
379,429,339
368,427,342
355,432,351
330,426,348
310,421,343
306,413,332
318,405,328
310,389,319
317,388,292
341,390,281
367,387,274
389,395,287
392,400,301
382,405,313
359,415,327
331,427,340
302,415,352
288,441,378
295,449,426
327,452,410
347,441,374
370,431,345
373,428,341
364,433,347
346,430,351
